,id,user_id,fullname,phone,status,role_id,password,image,created_at,updated_at
0,1,1,Abdulla,216151555,1,2,798978989,nfwfseiofhe,,
1,2,4,Hamidulla,456897936,1,2,684351683,jkgkugkhdgdglu,,
2,3,8,Muzaffar,56656468,0,2,668416685,ugutifuukgygui5j,,
3,4,18,Ali,256685685,1,2,561381531,hykgytcjybnuui,,
4,5,24,Qobiljon,568843168,0,2,6468358848,uyfgtukdfkyf,,
5,6,29,Sarvar,668168851,0,2,658431654,fwmeihfdsig,,
6,7,42,Davron,683181515,1,2,651684851,dsnjsgnhg,,
7,8,54,Qodir,318184314,1,2,65469845,ekrhguherkgnk,,
8,9,55,Botir,645884684,1,2,6564864315,klgrogoreiesalk,,
9,10,57,Raxim,688984635,1,2,6566655116,jhfueroigw,,
10,11,59,Sanjar,987626845,0,2,5164357351,jisfjoosglsgnli,,
11,12,60,Ravshan,653164682,0,2,5616468615d,gssonngniajgosighareig,,
12,13,62,Tolib,518155135,1,2,54165164835,dhatrjtrhdfg,,
13,14,64,Toyir,648616514,1,2,6566596568,frhfsftgdzzgdfgd,,
14,15,66,Alisher,123456789,1,2,56484956565,sHRTSJYSDHTSRESs,,
15,16,67,Jahongir,919291917,1,2,56468458668,hbhrbghiajgjdj,,
16,17,68,Shamshod,991231727,0,2,3694135135,ekehfharguakiul,,
17,18,69,Akbar,648646511,1,2,68483135468,sjtyjgrdfgragth,,
18,19,70,Ilhom,885134664,0,2,6498865168451,egsrtdjxdrgtsjhrdr,,
19,20,71,Elmurod,777191991,0,2,68435351665,ugtyddtygyvv,,
20,21,72,Furqat,566168384,0,2,56484665,hydjxdnjfh,,
21,22,73,yodgor,218355451,1,2,6684161894,sfjsgrhdagraga,,
22,23,74,Hurshid,331707663,1,2,6846816516,tyydjhsthtsggragh,,
23,24,75,Umid,5468415616,0,2,86666565,yrgrfkdjhgfgfdd,,
24,25,78,Doston,56486865,0,2,8465616148,ygssttsjysgdf,,
25,26,79,Komil,989848744,0,2,647984484,yhygtjkjhgyujyh,,
26,27,80,Omadillo,944419496,1,2,491689848,tmrnyutyhgrggs,,
27,28,81,Abduraxmon,931665153,1,2,98656568695,tmrhyjthwahywk,,
28,29,82,Sayfiddin,336542615,0,2,4948658665,tydjhshtsjhdgdzf,,
29,30,86,Pirimqul,919202020,1,2,689884516,ghuerguuidnf,,
30,31,87,Kamoldin,849814616,0,2,4986866,uyfgyoitftygyogu,,
31,32,88,Xondamir,333659080,0,2,8986516,teehrntrhgrggtse,,
32,33,89,Fazliddin,4484684113,1,2,884561365,reheryagrhjrsjhaerh,,
33,34,90,Odil,5668465165,1,2,9686584565,jhnsguilfddduilrhb,,
34,35,92,Lochin,864486686,1,2,1668563568,fjshgsrjkulkjhg,,
35,36,93,Said,468461322,0,2,654864616,dfgjhdrnjkdnauhguierhgrg,,
36,37,94,Farhod,954465656,1,2,561351646,jhtgudsfuiwdnfkdsuiw,,
37,38,95,Javlon,9468461654,0,2,5154686,rehgiuwejijfioehfio,,
38,39,97,Ulugbek,68468131,0,2,1684861531,ehhdtjhszgzdrgsd,,
39,40,98,Vasliddin,514684613,1,2,566468468654,uhtguiseijfiodiofl,,
40,41,96,Aziz,564313133,0,2,54351424,uhrkgkeskgiss,,
41,42,100,Ismoil,35346843535,0,2,564864353,ohdkjdtjrtharh,,
42,43,103,Mirshoir,779251641,1,2,4618481365,wsedvyjbykhufhjygk,,
43,44,104,Ayubxon,654681351,1,2,16683131,fthrhtsrjrregre,,
44,45,105,Dilshod,516868135,0,2,6846513535,rhtrsyzrhgrf,,
45,46,106,Rustam,646843358,1,2,681668135,rtjsgrdgrerg,,
46,47,107,Abdusalom,564625533,1,2,561351683,thsgdsrgrg,,
47,48,108,Solijon,616355135,0,2,865626565,thsrgaergregrefes,,
48,49,109,Iskandar,688135636,1,2,5684681635,dfgkyurdtfyguhytytfy,,
49,50,91,Abdukarim,351316435,0,2,985466553,tgyhjikjfuydyttdyuu,,
50,51,110,Tursunboy,681668131,0,2,166843132,ygtfdhyjukijhgffrgt,,
51,52,111,Ziloldin,613551615,0,2,6546843352,",fddfghjikikjhgfdfrhgfdsty",,
52,53,112,Suxrob,651616533,1,2,688416686565,jhygtrfetyoiuytrewe,,
53,54,113,oyatillo,651561335,1,2,561688468135,thetrhgreogkerkg,,
54,55,114,Zuxriddin,651635354,0,2,6843516335,ervbnhggrgnuytt,,
55,56,115,Ixtiyor,885522562,0,2,988165695,gyufjikeuthufijir,,
56,57,116,Jasur,951184244,1,2,938469584,huijeojighwfjeki,,
57,58,118,Turop,779926655,1,2,95555554,yuhfjikofugyfuhdij,,
58,59,119,Orzumurod,915485685,1,2,846654945,hguifokeiuhgjifko,,
59,60,120,Abduxoshim,942885655,0,2,545489154,ghjidkokiutgrf,,
60,61,77,Rozivoy,905642265,1,2,845484145,gyfhudikodfkigtuf,,
61,62,121,Erkin,932564812,0,2,544451548,gfbhdjskdfjhgfdj,,
62,63,123,Ismat,994654562,0,2,56525145,hbjdksfbdjkssd,,
63,64,130,Quvondiq,975151211,0,2,495625466,edrftgyhujikojhg,,
64,65,132,farohiddin,945616454,1,2,84646625,sedrftgyhujilkjhg,,
65,66,133,Hasanali,9165886454,0,2,856596266,sedrftgyhujikoijhuygt,,
66,67,134,Ulugbek,881611666,1,2,84899584,rfghjkjuhygtfrde,,
67,68,135,Salim,889653524,1,2,85548554,sdrftgyhujkjuhygt,,
68,69,136,Karim,771492454,1,2,59645956,dfyuikouhygtfrd,,
69,70,137,Isroil,976139643,0,2,846497646,setyuikuhygtfrd,,
70,71,138,Dilmurod,9926556556,1,2,9566495646,yhujikokuytrddt,,
71,72,141,Jumanazar,954864264,0,2,954995646,dyhujiiuytfrdrftgy,,
72,73,145,Unsinjon,904326454,0,2,54623262,drtyuiouytreddfgh,,
